Title,Artist,Cluster
"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",0
"Pepas","Farruko",0
"positions","Ariana Grande",1
"PROVENZA","KAROL G",0
"Pumped Up Kicks","Foster The People",2
"Ric Flair Drip (with Metro Boomin)","Offset",0
"Ride","Twenty One Pilots",0
"Safe And Sound","Capital Cities",2
"See You Again (feat. Charlie Puth)","Wiz Khalifa",0
"Story of My Life","One Direction",0
"Summer","Calvin Harris",2
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2
"Tarot","Bad Bunny",0
"THATS WHAT I WANT","Lil Nas X",2
"The Motto","Tiësto",0
"This Is What You Came For","Calvin Harris",2
"Toxic","Britney Spears",2
"Unforgettable","French Montana",2
"Uptown Funk (feat. Bruno Mars)","Mark Ronson",2
"Waiting For Love","Avicii",2
"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",0
"we fell in love in october","girl in red",0
"Yeah! (feat. Lil Jon & Ludacris)","Usher",2
"7 Years","Lukas Graham",0
"a lot","21 Savage",1
"All The Small Things","blink-182",1
"Baby","Justin Bieber",0
"Better Now","Post Malone",1
"Bruises","Lewis Capaldi",0
"Cake By The Ocean","DNCE",2
"Call Me Maybe","Carly Rae Jepsen",2
"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",2
"Can't Stop","Red Hot Chili Peppers",2
"Clocks","Coldplay",0
"Congratulations","Post Malone",2
"death bed (coffee for your head)","Powfu",1
"Desesperados","Rauw Alejandro",0
"Don't Start Now","Dua Lipa",2
"Don't You Worry Child - Radio Edit","Swedish House Mafia",1
"Dynamite","BTS",2
"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",0
"Feel So Close - Radio Edit","Calvin Harris",2
"First Class","Jack Harlow",0
"Gasolina","Daddy Yankee",2
"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk",2
"Hate It Or Love It","The Game",0
"Heartbreak Anniversary","Giveon",0
"Hey Ya!","Outkast",2
"I Gotta Feeling","Black Eyed Peas",2
"I Like Me Better","Lauv",0
"I Want It That Way","Backstreet Boys",0
"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",2
"Just Give Me a Reason (feat. Nate Ruess)","P!nk",0
"Leave The Door Open","Bruno Mars",1
"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Tainy",1
"Lose You To Love Me","Selena Gomez",0
"Love You Like A Love Song","Selena Gomez & The Scene",2
"Mask Off","Future",1
"MIDDLE CHILD","J. Cole",0
"Mood (feat. iann dior)","24kGoldn",2
"Moth To A Flame (with The Weeknd)","Swedish House Mafia",0
"Ms. Jackson","Outkast",2
"My Universe","Coldplay",0
"My Universe","Coldplay",0
"No Lie","Sean Paul",0
"Party In The U.S.A.","Miley Cyrus",0
"Rolling in the Deep","Adele",2
"SAD!","XXXTENTACION",0
"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2
"Sex on Fire","Kings of Leon",1
"Smack That","Akon",2
"Someone Like You","Adele",0
"Sorry","Justin Bieber",0
"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",2
"Streets","Doja Cat",0
"Stronger","Kanye West",0
"Sugar","Maroon 5",2
"thank u, next","Ariana Grande",0
"The Box","Roddy Ricch",2
"The Middle","Jimmy Eat World",1
"The Reason","Hoobastank",0
"The Way I Are","Timbaland",2
"TiK ToK","Kesha",2
"Timber (feat. Ke$ha)","Pitbull",2
"Titanium (feat. Sia)","David Guetta",0
"Whenever Wherever","Shakira",2
"Wow.","Post Malone",0
"XO Tour Llif3","Lil Uzi Vert",1
"Yes Indeed","Lil Baby",0
"You Right","Doja Cat",0
"A Thousand Years","Christina Perri",0
"About Damn Time","Lizzo",2
"All I Want","Kodaline",1
"Alright","Kendrick Lamar",2
"Animals","Maroon 5",1
"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2
"Bitch Better Have My Money","Rihanna",0
"Candy Shop","50 Cent",2
"Chasing Cars","Snow Patrol",0
"Classic","MKTO",2
"Dancing On My Own","Calum Scott",0
"Despacito","Luis Fonsi",1
"Dog Days Are Over","Florence + The Machine",1
"Don't Let Me Down","The Chainsmokers",1
"Don't Stop The Music","Rihanna",2
"Dynamite","Taio Cruz",2
"Electric Love","BØRNS",2
"Going Bad (feat. Drake)","Meek Mill",0
"Happy - From ""Despicable Me 2","Pharrell Williams",1
"Heathens","Twenty One Pilots",0
"Homecoming","Kanye West",2
"I Fall Apart","Post Malone",1
"I Feel It Coming","The Weeknd",2
"If I Ain't Got You","Alicia Keys",0
"I'm Yours","Jason Mraz",1
"In the Name of Love","Martin Garrix",0
"It's My Life","Bon Jovi",2
"Kings & Queens","Ava Max",0
"Kiss Me More (feat. SZA)","Doja Cat",2
"LA NOCHE DE ANOCHE","Bad Bunny",0
"Let You Down","NF",1
"Levels - Radio Edit","Avicii",2
"Little Dark Age","MGMT",2
"Lose Yourself","Eminem",1
"Love Me","Lil Wayne",0
"love nwantiti (ah ah ah)","CKay",0
"Love Story (Taylor’s Version)","Taylor Swift",0
"Low (feat. T-Pain)","Flo Rida",0
"Maneater","Nelly Furtado",2
"Mercy","Shawn Mendes",1
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5",2
"New Rules","Dua Lipa",2
"Not Afraid","Eminem",2
"Otherside","Red Hot Chili Peppers",0
"Outside (feat. Ellie Goulding)","Calvin Harris",0
"Poker Face","Lady Gaga",2
"Ransom","Lil Tecca",1
"RAPSTAR","Polo G",0
"Reckless","Madison Beer",1
"Robbery","Juice WRLD",0
"Rude","MAGIC!",2
"S&M","Rihanna",2
"Say It Right","Nelly Furtado",2
"Señorita","Shawn Mendes",2
"Silence","Marshmello",1
"Stitches","Shawn Mendes",1
"Stolen Dance","Milky Chance",2
"Stuck with U (with Justin Bieber)","Ariana Grande",1
"Sunshine","OneRepublic",2
"Teenagers","My Chemical Romance",2
"The Next Episode","Dr. Dre",0
"Time of Our Lives","Pitbull",2
"Treasure","Bruno Mars",2
"Wait a Minute!","WILLOW",2
"Wannabe","Spice Girls",2
"What I've Done","Linkin Park",0
"What You Know Bout Love","Pop Smoke",0
"Where Is The Love?","Black Eyed Peas",2
"Wrecking Ball","Miley Cyrus",0
"Young Dumb & Broke","Khalid",1
"...Baby One More Time","Britney Spears",2
"All Falls Down","Kanye West",0
"Back To Black","Amy Winehouse",0
"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",2
"Before He Cheats","Carrie Underwood",1
"Best Day Of My Life","American Authors",2
"Budapest","George Ezra",0
"Calling My Phone","Lil Tjay",0
"Chandelier","Sia",2
"Complicated","Avril Lavigne",0
"Danza Kuduro","Don Omar",2
"Dark Horse","Katy Perry",0
"DJ Got Us Fallin' In Love (feat. Pitbull)","Usher",2
"DNA.","Kendrick Lamar",1
"Drag Me Down","One Direction",1
"Everybody Talks","Neon Trees",1
"Faded","Alan Walker",1
"Forgot About Dre","Dr. Dre",2
"Gimme More","Britney Spears",0
"Gold Digger","Kanye West",2
"Good Days","SZA",0
"Goodbyes (feat. Young Thug)","Post Malone",1
"Hall of Fame (feat. will.i.am)","The Script",2
"Havana (feat. Young Thug)","Camila Cabello",0
"How to Save a Life","The Fray",0
"How You Remind Me","Nickelback",1
"I Don’t Wanna Live Forever (Fifty Shades Darker)","ZAYN",0
"IDGAF","Dua Lipa",0
"Just Dance","Lady Gaga",2
"Just the Way You Are","Bruno Mars",0
"Kryptonite","3 Doors Down",2
"Little Talks","Of Monsters and Men",0
"Love","Keyshia Cole",0
"Love Me Harder","Ariana Grande",0
"Magnolia","Playboi Carti",1
"MAMIII","Becky G",2
"Mo Bamba","Sheck Wes",1
"MONEY","LISA",1
"More Than You Know","Axwell /\ Ingrosso",2
"NO","Meghan Trainor",2
"Numb / Encore","JAY-Z",2
"Perfect","One Direction",0
"Pon de Replay","Rihanna",0
"Prisoner (feat. Dua Lipa)","Miley Cyrus",2
"Radioactive","Imagine Dragons",1
"Ride It","Regard",2
"Roar","Katy Perry",0
"Royals","Lorde",0
"Rude Boy","Rihanna",1
"Run This Town","JAY-Z",0
"She Will Be Loved - Radio Mix","Maroon 5",0
"Snow (Hey Oh)","Red Hot Chili Peppers",2
"Steal My Girl","One Direction",0
"Super Bass","Nicki Minaj",2
"Take Me Out","Franz Ferdinand",0
"Temperature","Sean Paul",2
"The Business","Tiësto",0
"The Middle","Zedd",0
"This Is The Life","Amy Macdonald",2
"This Love","Maroon 5",2
"Todo De Ti","Rauw Alejandro",0
"Walking On A Dream","Empire of the Sun",2
"WAP (feat. Megan Thee Stallion)","Cardi B",0
"We Can't Stop","Miley Cyrus",0
"Wildest Dreams","Taylor Swift",1
"willow","Taylor Swift",0
"Work","Rihanna",0
"34+35","Ariana Grande",0
"Adventure of a Lifetime","Coldplay",2
"All Of The Lights","Kanye West",1
"Alors on danse - Radio Edit","Stromae",2
"American Idiot","Green Day",1
"Bang Bang","Jessie J",1
"Be Alright","Dean Lewis",0
"Bleed It Out","Linkin Park",1
"boyfriend (with Social House)","Ariana Grande",1
"Can I Be Him","James Arthur",0
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",2
"Cheap Thrills","Sia",2
"Cheerleader - Felix Jaehn Remix Radio Edit","OMI",2
"Con Calma","Daddy Yankee",2
"Cool for the Summer","Demi Lovato",0
"Crazy In Love (feat. Jay-Z)","Beyoncé",2
"DÁKITI","Bad Bunny",0
"Dilemma","Nelly",1
"Disturbia","Rihanna",2
"DOGTOOTH","Tyler, The Creator",2
"Down","Jay Sean",2
"Drops of Jupiter (Tell Me)","Train",0
"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",2
"Exchange","Bryson Tiller",1
"Faint","Linkin Park",1
"Fireflies","Owl City",1
"Fluorescent Adolescent","Arctic Monkeys",2
"FourFiveSeconds","Rihanna",1
"Girl on Fire","Alicia Keys",0
"Glad You Came","The Wanted",2
"Go Flex","Post Malone",0
"Grenade","Bruno Mars",0
"Head & Heart (feat. MNEK)","Joel Corry",2
"Heart Attack","Demi Lovato",1
"Hey Brother","Avicii",0
"Hey There Delilah","Plain White T's",0
"Ho Hey","The Lumineers",0
"1973","James Blunt",2
"Hold Me While You Wait","Lewis Capaldi",0
"I Knew You Were Trouble.","Taylor Swift",0
"I Like It","Cardi B",2
"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",2
"In My Mind","Dynoro",0
"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",2
"Island In The Sun","Weezer",2
"It Wasn't Me","Shaggy",2
"Just A Lil Bit","50 Cent",0
"Kiss Me More (feat. SZA)","Doja Cat",2
"Like I Can","Sam Smith",0
"Like I'm Gonna Lose You (feat. John Legend)","Meghan Trainor",0
"Locked Away (feat. Adam Levine)","R. City",0
"Lonely","Akon",0
"Love Me Like You Do - From ""Fifty Shades Of Grey","Ellie Goulding",1
"Love Story (Taylor’s Version)","Taylor Swift",0
"Lush Life","Zara Larsson",2
"m y . l i f e (with 21 Savage & Morray)","J. Cole",0
"MIA","Bad Bunny",0
"My Boo","Usher",2
"My Way","Calvin Harris",2
"Nice For What","Drake",2
"Nonstop","Drake",1
"On The Floor","Jennifer Lopez",2
"Oops!...I Did It Again","Britney Spears",2
"Ophelia","The Lumineers",0
"P.I.M.P.","50 Cent",2
"Put Your Records On","Corinne Bailey Rae",0
"Raise Your Glass","P!nk",2
"Rasputin","Majestic",2
"Roses - Imanbek Remix","SAINt JHN",2
"Runaway","Kanye West",0
"Scars To Your Beautiful","Alessia Cara",0
"Scream & Shout","will.i.am",2
"SexyBack (feat. Timbaland)","Justin Timberlake",2
"Sing For The Moment","Eminem",1
"Starships","Nicki Minaj",2
"Still into You","Paramore",2
"Sugar, We're Goin Down","Fall Out Boy",1
"The Monster","Eminem",2
"The Pretender","Foo Fighters",1
"Thinkin Bout You","Frank Ocean",0
"Thnks fr th Mmrs","Fall Out Boy",1
"Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis",2
"Tongue Tied","GROUPLOVE",0
"When We Were Young","Adele",1
"Whistle","Flo Rida",2
"Wild Ones (feat. Sia)","Flo Rida",0
"All The Things She Said","t.A.T.u.",0
"Am I Wrong","Nico & Vinz",2
"American Boy","Estelle",2
"Bad Blood","Taylor Swift",1
"Bank Account","21 Savage",0
"Beautiful Girls","Sean Kingston",2
"Bertaut","Nadin Amizah",0
"Best Song Ever","One Direction",2
"Black and Yellow","Wiz Khalifa",1
"Blame (feat. John Newman)","Calvin Harris",1
"Break Free","Ariana Grande",0
"Break My Heart","Dua Lipa",0
"Butter","BTS",2
"Can't Tell Me Nothing","Kanye West",0
"changes","XXXTENTACION",0
"Crazy","Gnarls Barkley",2
"Dancing in the Moonlight","Toploader",2
"Dani California","Red Hot Chili Peppers",2
"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",1
"Die Young","Kesha",2
"Drive By","Train",2
"Falling","Trevor Daniel",0
"Feel This Moment (feat. Christina Aguilera)","Pitbull",1
"Forever","Chris Brown",0
"FRIENDS","Marshmello",2
"Give It To Me","Timbaland",2
"God is a woman","Ariana Grande",1
"Good Feeling","Flo Rida",2
"Good Time","Owl City",2
"Hawái","Maluma",1
"Headlines","Drake",1
"Him & I (with Halsey)","G-Eazy",0
"Hotline Bling","Drake",2
"How Deep Is Your Love","Calvin Harris",0
"If the World Was Ending (feat. Julia Michaels)","JP Saxe",0
"Into You","Ariana Grande",0
"It Ain't Me (with Selena Gomez)","Kygo",0
"Kids","MGMT",0
"Kiss Me Thru The Phone","Soulja Boy",1
"Like a Stone","Audioslave",0
"Location","Khalid",0
"Location (feat. Burna Boy)","Dave",0
"Look Back at It","A Boogie Wit da Hoodie",0
"Love Galore (feat. Travis Scott)","SZA",0
"Love Story","Taylor Swift",0
"Marry You","Bruno Mars",1
"Me And My Broken Heart","Rixton",1
"Meet Me At Our Spot","THE ANXIETY",0
"Memories (feat. Kid Cudi)","David Guetta",1
"Memories Remix (feat. Nipsey Hussle & YG)","Maroon 5",2
"Midnight City","M83",0
"Midnight Sky","Miley Cyrus",0
"Mirrors","Justin Timberlake",0
"Money In The Grave (Drake ft. Rick Ross)","Drake",0
"Monster","Skillet",2
"no tears left to cry","Ariana Grande",0
"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",0
"Old Town Road - Remix","Lil Nas X",2
"One More Time","Daft Punk",0
"Paper Planes","M.I.A.",1
"Pop Out (feat. Lil Tjay)","Polo G",1
"Power Trip (feat. Miguel)","J. Cole",0
"Psycho (feat. Ty Dolla $ign)","Post Malone",1
"ROCKSTAR (feat. Roddy Ricch)","DaBaby",0
"Rollin' (Air Raid Vehicle)","Limp Bizkit",2
"Safaera","Bad Bunny",2
"Save That Shit","Lil Peep",0
"Say My Name","Destiny's Child",2
"Say So","Doja Cat",2
"Scared to Be Lonely","Martin Garrix",0
"Sexy Bitch (feat. Akon)","David Guetta",2
"Shotgun","George Ezra",2
"Shower","Becky G",0
"Skyfall","Adele",0
"So Sick","Ne-Yo",0
"So What","P!nk",1
"Stay","Rihanna",0
"Sugar (feat. Francesco Yates)","Robin Schulz",2
"Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes",2
"Supermassive Black Hole","Muse",2
"Team","Lorde",0
"The Lazy Song","Bruno Mars",1
"This Could Be Us","Rae Sremmurd",2
"This Girl (Kungs Vs. Cookin' On 3 Burners)","Kungs",0
"To the Bone","Pamungkas",2
"Unconditionally","Katy Perry",0
"Waves - Robin Schulz Radio Edit","Mr. Probz",0
"Welcome to the Black Parade","My Chemical Romance",0
"What Do You Mean?","Justin Bieber",2
"White Iverson","Post Malone",0
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg",0
"A Thousand Miles","Vanessa Carlton",0
"Angel","Shaggy",1
"Are You Gonna Be My Girl","Jet",2
"Astronaut In The Ocean","Masked Wolf",1
"Better Off Alone","Alice Deejay",2
"break up with your girlfriend i'm bored","Ariana Grande",1
"Breaking Me","Topic",2
"Callaita","Bad Bunny",1
"Cheating on You","Charlie Puth",2
"Chill Bill (feat. J. Davi$ & Spooks)","Rob $tone",0
"Clint Eastwood","Gorillaz",1
"Club Can't Handle Me (feat. David Guetta)","Flo Rida",2
"Collard Greens","ScHoolboy Q",1
"Counting Stars","OneRepublic",0
"Dance, Dance","Fall Out Boy",2
"Dear Maria, Count Me In","All Time Low",1
"Diamonds","Rihanna",0
"Drive","Incubus",2
"Drop It Like It's Hot","Snoop Dogg",2
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",0
"Elastic Heart","Sia",1
"Family Affair","Mary J. Blige",2
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",2
"Firestone","Kygo",0
"Get Busy","Sean Paul",2
"Girls Want Girls (with Lil Baby)","Drake",0
"Glorious (feat. Skylar Grey)","Macklemore",1
"Here Without You","3 Doors Down",1
"Here's Your Perfect","Jamie Miller",0
"How We Do","The Game",2
"I Don't Care (with Justin Bieber)","Ed Sheeran",2
"i hate u i love u (feat. olivia o'brien)","gnash",0
"I Miss You","blink-182",0
"Impossible","James Arthur",1
"It Will Rain","Bruno Mars",1
"It's Not Living (If It's Not With You)","The 1975",2
"Just Can’t Get Enough","Black Eyed Peas",0
"La Tortura (feat. Alejandro Sanz)","Shakira",2
"Lady - Hear Me Tonight","Modjo",2
"Lantas","Juicy Luicy",0
"Lean On (feat. MØ & DJ Snake)","Major Lazer",0
"Life Goes On","BTS",0
"Life Goes On","Oliver Tree",0
"Love Me Again","John Newman",0
"Malibu","Miley Cyrus",1
"Mambo No. 5 (a Little Bit of...)","Lou Bega",1
"Me & U","Cassie",2
"Me, Myself & I","G-Eazy",0
"My House","Flo Rida",2
"On Top Of The World","Imagine Dragons",2
"One More Night","Maroon 5",2
"Permission to Dance","BTS",2
"Physical","Dua Lipa",1
"Piece Of Your Heart","MEDUZA",2
"Problem","Ariana Grande",2
"Pump It","Black Eyed Peas",1
"Replay","Iyaz",0
"Right Round","Flo Rida",2
"Rock Your Body","Justin Timberlake",2
"ROXANNE","Arizona Zervas",0
"17","MK",2
"Side To Side","Ariana Grande",1
"Sk8er Boi","Avril Lavigne",1
"SOS","Rihanna",1
"Take A Bow","Rihanna",0
"Taki Taki (with Selena Gomez & Ozuna & Cardi B)","DJ Snake",2
"Te Boté - Remix","Nio Garcia",0
"The Kill","Thirty Seconds To Mars",1
"Tusa","KAROL G",2
"Unwritten","Natasha Bedingfield",2
"Use Somebody","Kings of Leon",1
"Valerie (feat. Amy Winehouse) - Version Revisited","Mark Ronson",2
"Video Games","Lana Del Rey",0
"Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)","Shakira",2
"We Are Young (feat. Janelle Monáe)","fun.",1
"When You Were Young","The Killers",1
"Who Says","Selena Gomez & The Scene",2
"Womanizer","Britney Spears",1
"Work from Home (feat. Ty Dolla $ign)","Fifth Harmony",2
"1-800-273-8255","Logic",0
"21 Questions","50 Cent",2
"3 Nights","Dominic Fike",2
"Are You With Me","Lost Frequencies",0
"Barbie Girl","Aqua",2
"Beauty And A Beat","Justin Bieber",2
"Best of You","Foo Fighters",1
"Bleeding Love","Leona Lewis",0
"Blurred Lines","Robin Thicke",2
"Body","Loud Luxury",2
"Break Your Heart","Taio Cruz",2
"Buy U a Drank (Shawty Snappin') (feat. Yung Joc)","T-Pain",0
"By the Way","Red Hot Chili Peppers",0
"California Gurls","Katy Perry",0
"Call on Me - Radio Mix","Eric Prydz",0
"Can't Get You out of My Head","Kylie Minogue",2
"Clarity","Zedd",0
"Cooler Than Me - Single Mix","Mike Posner",2
"Dance Monkey","Tones And I",0
"DARE","Gorillaz",2
"Don't Call Me Up","Mabel",0
"Don't Know Why","Norah Jones",0
"Eastside (with Halsey & Khalid)","benny blanco",0
"Envolver","Anitta",0
"Everybody (Backstreet's Back) - Radio Edit","Backstreet Boys",2
