title;artist;topgenre;year;bpm;energy;danceability ;dB;liveness;valence;duration;acousticness;speechiness ;popularity;key;mode;instrumentalness;loudness
Blinding Lights;The Weeknd;canadian contemporary r&b;2020;171;73;51;-6;9;33;200;0;6;92;11;Minor;0.5202806220956996;-24.10437415151557
Me Porto Bonito;Bad Bunny;reggaeton;2022;92;71;91;-5;9;43;179;9;8;92;1;Minor;0.7693327814127371;-58.113822881768954
Mockingbird;Eminem;detroit hip hop;2004;84;68;64;-4;16;25;251;21;27;92;5;Major;0.2898215242198253;-47.8055176983716
Players;Coi Leray;new jersey underground rap;2022;105;52;95;-6;5;62;140;3;16;92;10;Major;0.5494315412645736;-2.575107040469952
Cruel Summer;Taylor Swift;pop;2019;170;70;55;-6;11;56;178;12;16;91;3;Major;0.6728001788531155;-4.313087205432836
Escapism.;RAYE;uk contemporary r&b;2022;96;74;54;-5;9;25;272;14;11;91;6;Minor;0.19958623081687044;-23.997169454746548
Ojitos Lindos;Bad Bunny;reggaeton;2022;80;69;65;-6;53;27;258;8;4;91;4;Major;0.08562954797069722;-51.3752059460104
Search & Rescue;Drake;canadian hip hop;2023;142;44;82;-8;33;54;272;6;7;91;6;Major;0.8477564175679371;-37.77785482055848
Sure Thing;Miguel;r&b;2010;81;61;68;-8;19;50;195;3;10;91;3;Major;0.4777001663449564;-16.79219860439065
Sweater Weather;The Neighbourhood;modern alternative rock;2013;124;81;61;-3;10;40;240;5;3;91;5;Minor;0.4935924469067354;-36.015220119563764
Unholy (feat. Kim Petras);Sam Smith;pop;2022;131;47;71;-7;27;24;157;1;9;91;7;Major;0.4092278438615796;-16.492291449137156
All Of The Girls You Loved Before;Taylor Swift;pop;2019;96;47;72;-10;13;40;221;71;4;90;10;Major;0.1259669091692196;-59.25596553305705
Dandelions;Ruth B.;alt z;2017;117;69;61;-3;9;45;234;2;3;90;0;Major;0.06086635088564285;-7.998017780204371
Ditto;NewJeans;k-pop;2022;134;64;81;-6;10;18;186;3;11;90;9;Major;0.3086994070181659;-48.78406718452242
Efecto;Bad Bunny;reggaeton;2022;98;48;80;-9;6;23;213;14;5;90;2;Minor;0.8272722361819091;-26.46712876681024
golden hour;JVKE;modern indie pop;2022;94;59;52;-5;25;15;209;65;3;90;1;Minor;0.4918341407883856;-18.197281258878718
Heat Waves;Glass Animals;gauze pop;2020;81;53;76;-7;9;53;239;44;9;90;5;Minor;0.2857175387509483;-18.89961484265678
La Bachata;Manuel Turizo;colombian pop;2022;125;68;84;-5;22;85;163;58;4;90;10;Minor;0.578885751294789;-42.1058808004586
Last Night;Morgan Wallen;contemporary country;2023;204;68;52;-5;15;52;164;46;4;90;3;Major;0.1198148889736087;-34.68429022418047
lovely (with Khalid);Billie Eilish;art pop;2018;115;30;35;-10;10;12;200;93;3;90;6;Major;0.9321029326419332;-38.52189475324981
Made You Look;Meghan Trainor;hip pop;2022;145;53;84;-4;8;88;134;35;7;90;10;Minor;0.09936617720186447;-9.263871512030526
Nonsense;Sabrina Carpenter;pop;2022;139;70;74;-5;22;73;164;3;3;90;11;Minor;0.11798531079206209;-33.668414832574044
Perfect;Ed Sheeran;pop;2017;95;45;60;-6;11;17;263;16;2;90;0;Major;0.11294742847777195;-49.55694831037013
Rich Flex;Drake;canadian hip hop;2022;153;52;56;-9;36;42;239;5;24;90;7;Major;0.4259058730902807;-33.1331940482999
Tití Me Preguntó;Bad Bunny;reggaeton;2022;107;72;65;-5;13;19;244;10;25;90;9;Minor;0.4439644040508661;-25.815865024714583
Watermelon Sugar;Harry Styles;pop;2019;95;82;55;-4;34;56;174;12;5;90;0;Minor;0.33310616348063316;-4.843462402637776
Without Me;Eminem;detroit hip hop;2002;112;67;91;-3;24;66;290;0;7;90;0;Minor;0.364027164514484;-4.649312198029335
Yandel 150;Yandel;latin hip hop;2023;168;73;78;-4;10;58;216;5;7;90;8;Minor;0.4687968982001416;-13.886116768957308
Yellow;Coldplay;permanent wave;2000;173;66;43;-7;23;28;267;0;3;90;2;Major;0.9898112833917267;-0.20511623043384475
Call Out My Name;The Weeknd;canadian contemporary r&b;2018;134;59;46;-5;31;18;228;17;4;89;9;Minor;0.23061797225436753;-48.43612877767036
Do I Wanna Know?;Arctic Monkeys;garage rock;2013;85;53;55;-8;22;41;272;19;3;89;5;Major;0.6621971573379462;-3.45432052609047
Double Fantasy (with Future);The Weeknd;canadian contemporary r&b;2023;119;57;60;-7;50;10;268;1;3;89;0;Minor;0.0676362471561841;-36.901219771617235
Eyes Closed;Ed Sheeran;pop;2023;107;53;78;-6;11;39;195;30;6;89;9;Major;0.2897346374578693;-17.36621579413849
Late Night Talking;Harry Styles;pop;2022;115;73;71;-5;11;90;178;30;5;89;11;Minor;0.24529337260902062;-19.15094587879294
Lavender Haze;Taylor Swift;pop;2022;97;44;73;-10;16;10;202;26;8;89;11;Minor;0.4430868692849559;-29.654888537846638
Never Felt So Alone;Labrinth;indie poptimism;2023;98;41;44;-4;38;36;160;50;5;89;4;Major;0.6260400779744701;-15.78166551793047
Night Changes;One Direction;boy band;2014;120;52;67;-8;12;37;227;86;4;89;1;Minor;0.013292892673743117;-9.970215386787501
Save Your Tears;The Weeknd;canadian contemporary r&b;2020;118;83;68;-5;54;64;216;2;3;89;3;Minor;0.7099194736428691;-45.02909173873452
Someone You Loved;Lewis Capaldi;pop;2019;110;41;50;-6;11;45;182;75;3;89;10;Major;0.16655457475208202;-20.570843429348884
The Real Slim Shady;Eminem;detroit hip hop;2000;105;66;95;-4;5;76;284;3;6;89;8;Major;0.8575470382234208;-34.55104960766923
When I Was Your Man;Bruno Mars;dance pop;2012;73;28;61;-9;9;39;214;93;4;89;1;Major;0.952744768401022;-12.039780000270802
Blank Space;Taylor Swift;pop;2014;96;70;76;-5;9;57;232;10;5;88;8;Major;0.03496738131654853;-33.497125989147605
Circles;Post Malone;dfw rap;2019;120;76;70;-3;9;55;215;19;4;88;9;Major;0.4265134310283709;-32.81482639644547
Ghost;Justin Bieber;canadian pop;2021;154;74;60;-6;42;44;153;19;5;88;5;Minor;0.8029556429012048;-37.879401789585835
Heather;Conan Gray;bedroom pop;2020;102;43;36;-7;32;27;198;58;3;88;5;Major;0.4071505576780755;-4.482539647027814
I Love You So;The Walters;chicago indie;2014;76;65;57;-5;12;47;160;58;4;88;1;Major;0.2746561364408244;-44.02042045324649
Locked out of Heaven;Bruno Mars;dance pop;2012;144;70;73;-4;31;87;233;5;4;88;8;Major;0.6867420356344501;-19.661224848241574
Lover;Taylor Swift;pop;2019;69;54;36;-8;12;45;221;49;9;88;5;Major;0.17013386382740026;-56.1149387668779
Moscow Mule;Bad Bunny;reggaeton;2022;100;67;80;-5;12;29;246;29;3;88;6;Minor;0.8673001590960273;-57.83465959163666
One Dance;Drake;canadian hip hop;2016;104;63;79;-6;33;37;174;1;5;88;11;Major;0.26574744725157773;-6.454568283604637
One Kiss (with Dua Lipa);Calvin Harris;dance pop;2018;124;86;79;-3;8;59;215;4;11;88;11;Minor;0.3382739473217252;-4.244186222779817
Pink + White;Frank Ocean;lgbtq+ hip hop;2016;160;55;55;-7;42;55;185;67;11;88;11;Minor;0.4874675275286807;-54.007441744364385
Shape of You;Ed Sheeran;pop;2017;96;65;83;-3;9;93;234;58;8;88;3;Minor;0.5122057041766586;-24.18297862079492
Shivers;Ed Sheeran;pop;2021;141;86;79;-3;4;82;208;28;9;88;11;Minor;0.3819305196118067;-58.21873538816832
The Hills;The Weeknd;canadian contemporary r&b;2015;113;56;59;-7;14;14;242;7;5;88;2;Major;0.502331546074464;-19.212834141987003
Viva La Vida;Coldplay;permanent wave;2008;138;62;49;-7;11;42;242;10;3;88;2;Minor;0.04390768237536358;-10.543841970691489
Why'd You Only Call Me When You're High?;Arctic Monkeys;garage rock;2013;92;63;69;-6;10;80;161;5;4;88;2;Minor;0.4514505078015528;-5.92630883263147
Bad Habits;Ed Sheeran;pop;2021;126;89;81;-4;37;54;231;5;3;87;8;Major;0.9186630517894845;-58.98176328683929
Happier Than Ever;Billie Eilish;art pop;2021;81;23;33;-9;13;30;299;77;3;87;5;Major;0.7172081874739822;-46.51912399285456
Heartless;Kanye West;chicago rap;2008;88;65;79;-6;25;65;211;5;14;87;2;Major;0.3221683506760009;-6.2466794236484375
Heaven;Niall Horan;pop;2023;92;76;57;-3;33;68;186;7;3;87;8;Minor;0.5702101053559189;-45.71689403628148
I'm Not The Only One;Sam Smith;pop;2014;82;49;68;-6;8;49;239;53;4;87;4;Major;0.538640349001052;-32.90212136712982
In the End;Linkin Park;alternative metal;2000;105;86;56;-6;21;40;217;1;6;87;7;Major;0.7560650378047403;-48.676100126702806
La Jumpa;Arcángel;latin hip hop;2022;140;23;89;-15;13;20;197;11;18;87;5;Major;0.10321329404052093;-35.036333124920965
LET GO;Central Cee;melodic drill;2022;146;45;74;-10;21;51;176;86;38;87;1;Minor;0.5871034032105624;-52.650894826517174
MIDDLE OF THE NIGHT;Elley Duhé;alt z;2020;186;61;41;-8;12;9;184;2;5;87;5;Minor;0.5696594481797451;-32.92632630124816
Mr. Brightside;The Killers;alternative rock;2004;148;91;35;-5;10;24;223;0;7;87;11;Minor;0.30391729827481495;-7.619918380419293
Numb;Linkin Park;alternative metal;2003;110;86;50;-4;64;24;186;0;4;87;1;Minor;0.09114987925079054;-0.0589243707151752
Photograph;Ed Sheeran;pop;2014;108;38;61;-10;10;20;259;61;5;87;3;Minor;0.24909913837284758;-3.4375465732615282
Say You Won't Let Go;James Arthur;pop;2016;85;56;36;-7;9;49;211;70;6;87;11;Major;0.6950575223850461;-27.22432054643467
Something Just Like This;The Chainsmokers;electropop;2017;103;64;62;-7;16;45;247;5;3;87;9;Major;0.7938699530293767;-16.99790014503934
Somewhere Only We Know;Keane;neo mellow;2004;172;67;45;-4;8;30;237;6;3;87;5;Major;0.38132741808409165;-45.20862527926782
STAY (with Justin Bieber);The Kid LAROI;australian hip hop;2021;170;76;59;-5;10;48;142;4;5;87;11;Minor;0.13642284219277745;-24.62593988103997
Stressed Out;Twenty One Pilots;modern rock;2015;170;64;73;-6;6;65;202;5;14;87;11;Major;0.2586042987102849;-43.91693029397246
Style;Taylor Swift;pop;2014;95;79;59;-6;12;49;231;0;4;87;3;Minor;0.7887815477226626;-55.95337900300382
The Nights;Avicii;edm;2014;126;84;53;-5;25;65;177;2;4;87;3;Major;0.22615849219380757;-31.68808632644567
Thunder;Imagine Dragons;modern rock;2017;168;82;61;-5;15;29;187;1;4;87;5;Major;0.06974799326159731;-52.065907934802
traitor;Olivia Rodrigo;pop;2021;101;34;38;-8;12;8;229;69;3;87;6;Major;0.8217327854017585;-6.708472708844866
Wake Me Up;Avicii;edm;2013;124;78;53;-6;16;64;247;0;5;87;1;Major;0.8389328327978104;-47.68571063793729
Where Are You Now;Lost Frequencies;belgian edm;2021;121;64;67;-8;17;26;148;52;10;87;4;Minor;0.7485992398653853;-14.759015241713172
Woman;Doja Cat;dance pop;2021;108;76;82;-4;12;88;173;9;9;87;5;Minor;0.6910592483647023;-6.049159923875166
7 rings;Ariana Grande;pop;2019;140;32;78;-11;9;33;179;59;33;86;6;Minor;0.533705339840724;-2.0710841893240186
A Sky Full of Stars;Coldplay;permanent wave;2014;125;68;55;-6;21;16;268;1;3;86;0;Minor;0.7636723538467171;-11.947035493828373
Adore You;Harry Styles;pop;2019;99;77;68;-4;10;57;207;2;5;86;0;Major;0.4315434684589964;-49.07321787169026
All of Me;John Legend;neo soul;2013;120;26;42;-7;13;33;270;92;3;86;5;Minor;0.7245464266175667;-13.843145360027236
Before You Go;Lewis Capaldi;pop;2019;112;57;46;-5;9;18;215;60;6;86;9;Major;0.27717936762629625;-47.6028629409191
Beggin';Måneskin;indie rock italiano;2017;134;80;71;-5;36;59;212;13;5;86;7;Major;0.106047044849791;-49.568303768051365
Closer;The Chainsmokers;electropop;2016;95;52;75;-6;11;66;245;41;3;86;11;Minor;0.3924444266975996;-25.938080750103836
Cold Heart - PNAU Remix;Elton John;glam rock;2021;116;80;80;-6;10;94;203;3;3;86;4;Minor;0.04926710839242432;-55.22803174441442
Counting Stars;OneRepublic;piano rock;2013;122;71;66;-5;12;48;257;7;4;86;4;Major;0.9535062767485495;-6.109474676441536
Daddy Issues;The Neighbourhood;modern alternative rock;2015;85;52;59;-9;12;34;260;7;3;86;11;Major;0.885606654973726;-14.775545167684285
deja vu;Olivia Rodrigo;pop;2021;181;61;44;-7;37;18;216;58;11;86;9;Major;0.06146500512430608;-24.170251990543257
Demons;Imagine Dragons;modern rock;2012;90;71;51;-3;27;43;178;19;3;86;3;Major;0.9489283162903296;-8.289248276440652
drivers license;Olivia Rodrigo;pop;2021;144;43;56;-9;11;14;242;77;6;86;6;Major;0.4405039729585323;-42.48071202749535
everything i wanted;Billie Eilish;art pop;2019;120;23;70;-14;11;24;245;90;10;86;6;Minor;0.9076875116341101;-17.13357303124208
Fair Trade (with Travis Scott);Drake;canadian hip hop;2021;168;47;67;-9;22;29;291;5;26;86;5;Major;0.6117238817488843;-7.268175425922436
Flashing Lights;Kanye West;chicago rap;2007;90;63;64;-8;39;43;238;4;4;86;4;Major;0.6888139864318698;-0.2016006955719476
FLOWER;JISOO;k-pop;2023;124;38;84;-8;7;60;173;2;4;86;5;Minor;0.44358706480869203;-42.34054530125976
Glimpse of Us;Joji;viral pop;2022;170;32;44;-9;14;27;233;89;5;86;11;Major;0.7852996126344406;-40.904583956960096
God's Plan;Drake;canadian hip hop;2018;77;45;75;-9;55;36;199;3;11;86;5;Major;0.6946314597618833;-10.182761974969985
good 4 u;Olivia Rodrigo;pop;2021;167;66;56;-5;8;69;178;34;15;86;5;Minor;0.11400422179293945;-59.02814216455752
goosebumps;Travis Scott;hip hop;2016;130;73;84;-3;15;43;244;8;5;86;2;Minor;0.9988947419318891;-23.275709436689745
Hips Don't Lie (feat. Wyclef Jean);Shakira;colombian pop;2005;100;82;78;-6;41;76;218;28;7;86;2;Major;0.7645056878664664;-55.78078419882819
HUMBLE.;Kendrick Lamar;conscious hip hop;2017;150;62;91;-7;10;42;177;0;10;86;0;Major;0.8957987184102452;-9.3868013536744
Kill Bill (feat. Doja Cat);SZA;pop;2023;89;74;63;-6;19;45;176;8;4;86;0;Minor;0.9818718758637445;-24.654058504875763
Let Me Down Slowly;Alec Benjamin;alt z;2018;150;56;65;-6;12;48;169;74;3;86;1;Minor;0.548111932925243;-13.057732487404621
Lost;Frank Ocean;lgbtq+ hip hop;2012;123;60;91;-5;17;50;234;3;23;86;4;Major;0.7683229264147179;-22.106419734471366
Love On The Brain;Rihanna;barbadian pop;2016;172;64;51;-5;8;38;224;7;5;86;4;Minor;0.3906538618285509;-56.280819008173815
Ni**as In Paris;JAY-Z;east coast hip hop;2011;140;86;79;-6;35;78;219;13;31;86;11;Major;0.48648499078784524;-28.523497588753266
Nobody Gets Me;SZA;pop;2022;100;28;36;-8;18;28;181;81;3;86;9;Minor;0.3287560959899696;-10.623638829171519
rockstar (feat. 21 Savage);Post Malone;dfw rap;2018;160;52;59;-6;13;13;218;12;7;86;4;Minor;0.0173641168578359;-24.31114613908379
Running Up That Hill (A Deal With God);Kate Bush;art pop;1985;108;55;63;-13;6;19;299;72;5;86;10;Minor;0.8787333168798452;-10.643129088397494
Set Fire to the Rain;Adele;british soul;2011;108;67;60;-4;11;45;243;0;2;86;3;Major;0.45471797670956393;-37.57713754905836
Seven Nation Army;The White Stripes;alternative rock;2003;124;45;74;-8;34;28;232;0;7;86;3;Minor;0.20760064240942622;-45.42501333297043
Shallow;Lady Gaga;art pop;2018;96;39;57;-6;23;32;216;37;3;86;4;Minor;0.3868135741882509;-29.860661622852042
STAY (with Justin Bieber);The Kid LAROI;australian hip hop;2021;170;76;59;-5;10;48;142;4;5;86;5;Minor;0.8155865378767567;-26.770934724000334
telepatía;Kali Uchis;colombian pop;2020;84;52;65;-9;20;55;160;11;5;86;1;Minor;0.4019268519005019;-12.351050591932292
That's What I Like;Bruno Mars;dance pop;2016;134;56;85;-5;9;86;207;1;4;86;8;Minor;0.07016099021330757;-29.37054451838144
The Less I Know The Better;Tame Impala;australian psych;2015;117;74;64;-4;17;79;216;1;3;86;2;Major;0.5262067301537667;-59.739740053014025
The Scientist;Coldplay;permanent wave;2002;146;44;56;-7;11;21;310;73;2;86;6;Major;0.7240804207958962;-39.91475914561045
Till I Collapse;Eminem;detroit hip hop;2002;171;85;55;-3;8;10;298;6;19;86;0;Major;0.6628515076090827;-22.914559274814067
Too Good At Goodbyes;Sam Smith;pop;2017;92;37;68;-8;17;48;201;64;4;86;8;Minor;0.253169468258055;-48.126678284257835
Treat You Better;Shawn Mendes;canadian pop;2017;83;82;44;-4;11;75;188;11;34;86;6;Major;0.06277641354434371;-40.49764728139719
Una Noche en Medellín;Cris Mj;mambo chileno;2022;96;55;87;-5;5;83;154;9;8;86;0;Major;0.09552913704700317;-33.208943306062025
Until I Found You;Stephen Sanchez;gen z singer-songwriter;2021;101;51;54;-6;17;23;178;73;3;86;2;Major;0.096494751785967;-3.4486922108366755
What Makes You Beautiful;One Direction;boy band;2012;125;79;73;-2;6;89;200;1;7;86;0;Minor;0.5372863248735621;-49.74443247789959
All The Stars (with SZA);Kendrick Lamar;conscious hip hop;2018;97;63;70;-5;9;55;232;6;6;85;4;Major;0.5009977413269904;-51.27517522130026
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault);Taylor Swift;pop;2021;93;52;63;-9;9;21;613;27;3;85;3;Minor;0.16102459382840684;-1.7239712048933455
Belly Dancer;Imanbek;electro house;2022;122;80;85;-5;17;42;151;6;14;85;5;Minor;0.9709216464985767;-4.332420446012627
Feel Good Inc.;Gorillaz;alternative hip hop;2005;139;71;82;-7;61;77;223;1;18;85;4;Major;0.9982200028587866;-4.705787655025418
Fix You;Coldplay;permanent wave;2005;138;42;21;-9;11;12;296;16;3;85;8;Minor;0.2017575989911199;-10.835186958045227
happier;Olivia Rodrigo;pop;2021;169;44;40;-10;8;34;176;77;13;85;9;Major;0.1712427996889796;-1.4416503174870243
Hymn for the Weekend;Coldplay;permanent wave;2015;90;69;49;-6;33;41;258;21;4;85;1;Minor;0.16509204990112958;-24.978611343706447
Let Me Love You;DJ Snake;edm;2016;100;72;65;-5;14;16;206;9;3;85;3;Minor;0.651245226971689;-12.712713356752538
Levitating (feat. DaBaby);Dua Lipa;dance pop;2020;103;83;70;-4;7;92;203;1;6;85;7;Minor;0.6623616619415602;-9.334479771820256
Lost in the Fire (feat. The Weeknd);Gesaffelstein;dark clubbing;2019;101;67;66;-12;12;17;202;9;4;85;7;Minor;0.7156416433309359;-46.986929610365046
Love Yourself;Justin Bieber;canadian pop;2015;100;38;61;-10;28;52;234;84;44;85;2;Major;0.8405787845661384;-58.36594900981125
LOVE. FEAT. ZACARI.;Kendrick Lamar;conscious hip hop;2017;126;59;80;-7;15;78;213;26;9;85;2;Minor;0.6622441357013784;-1.483942918663125
Lucid Dreams;Juice WRLD;chicago rap;2018;84;57;51;-7;34;22;240;35;20;85;7;Major;0.424335407769989;-34.46776790729592
Maps;Maroon 5;pop;2014;120;71;74;-6;6;88;190;2;3;85;7;Minor;0.5953352209801868;-59.61620200727038
One Last Time;Ariana Grande;pop;2014;125;59;63;-5;10;10;197;9;3;85;4;Minor;0.38106466155471075;-15.789708084984333
Only Love Can Hurt Like This;Paloma Faith;british soul;2014;91;89;57;-5;33;30;233;10;8;85;7;Major;0.39518141251531846;-13.121570078235415
Paradise;Coldplay;permanent wave;2011;140;59;45;-7;8;21;279;5;3;85;9;Major;0.827671226478123;-10.635780927244525
Passionfruit;Drake;canadian hip hop;2017;112;46;81;-11;11;36;299;26;4;85;5;Minor;0.43360611988780573;-5.882215451449852
Payphone;Maroon 5;pop;2012;110;75;74;-5;29;55;231;2;4;85;10;Major;0.7757049933228172;-5.121807103639249
Promiscuous;Nelly Furtado;canadian latin;2006;114;97;81;-6;15;87;242;6;5;85;9;Major;0.07146108482367275;-0.242469753706537
Redbone;Childish Gambino;atl hip hop;2016;160;35;75;-11;12;60;327;17;10;85;10;Minor;0.44668218375689317;-15.138187637106526
Riptide;Vance Joy;folk-pop;2014;102;73;48;-7;15;51;204;43;4;85;1;Minor;0.47776456598846573;-16.988066722440863
Shake It Off;Taylor Swift;pop;2014;160;80;65;-5;33;94;219;6;17;85;2;Major;0.4303695034847016;-45.04591757940455
Shut Up and Dance;WALK THE MOON;dance rock;2014;128;87;58;-4;26;62;199;1;6;85;2;Minor;0.6120696709326159;-9.169278800676125
SICKO MODE;Travis Scott;hip hop;2018;155;73;83;-4;12;45;313;1;22;85;11;Minor;0.9285915070160548;-40.91328819691585
Stan;Eminem;detroit hip hop;2000;80;77;78;-4;52;51;404;4;24;85;0;Major;0.7859659025079365;-21.189817811992434
Stay With Me;Sam Smith;pop;2014;84;42;42;-6;11;18;173;59;4;85;5;Minor;0.5431009999901373;-9.432967196040977
Take Me To Church;Hozier;irish singer-songwriter;2014;129;66;57;-5;12;44;242;63;5;85;5;Minor;0.6431116124864399;-35.28933031043376
Thinking out Loud;Ed Sheeran;pop;2014;79;45;78;-6;18;59;282;47;3;85;11;Minor;0.6619187836741951;-3.2000391215726793
Umbrella;Rihanna;barbadian pop;2008;174;83;58;-5;4;57;276;1;13;85;6;Major;0.07456009632084903;-59.438494686735936
We Found Love;Rihanna;barbadian pop;2011;128;77;73;-4;11;60;215;3;4;85;7;Major;0.3821085356503422;-17.86019755251521
when the party's over;Billie Eilish;art pop;2019;83;11;37;-14;9;20;196;98;10;85;11;Minor;0.7209657261605457;-50.327045971047575
Yonaguni;Bad Bunny;reggaeton;2021;180;65;64;-5;14;44;207;28;12;85;6;Major;0.7541671129331811;-17.967911060162834
abcdefu;GAYLE;modern alternative pop;2021;122;54;70;-6;37;42;169;30;5;84;11;Major;0.3887318349754201;-1.6101840309461792
bad guy;Billie Eilish;art pop;2019;135;43;70;-11;10;56;194;33;38;84;4;Major;0.9252127610427071;-54.854325017484854
Bad Romance;Lady Gaga;art pop;2009;119;92;70;-4;8;71;295;0;4;84;3;Major;0.5504239864151963;-27.965847366703194
Bored;Billie Eilish;art pop;2017;120;32;61;-13;8;11;181;90;5;84;7;Major;0.3404231574261909;-10.211505589578366
Bring Me To Life;Evanescence;alternative metal;2003;95;94;33;-3;24;30;236;1;7;84;9;Major;0.5383819983143582;-40.32079287256037
Can't Feel My Face;The Weeknd;canadian contemporary r&b;2015;108;77;71;-6;11;58;214;11;4;84;8;Major;0.9184369862104432;-17.64578441521202
Doin' Time;Lana Del Rey;art pop;2019;145;56;64;-11;9;52;202;40;4;84;6;Major;0.6000660695818385;-8.3111845534157
Don't;Bryson Tiller;kentucky hip hop;2015;97;36;77;-6;10;19;198;22;20;84;10;Minor;0.9548058551148518;-2.3538091216207278
EARFQUAKE;Tyler, The Creator;hip hop;2019;80;50;55;-9;80;41;190;23;7;84;0;Major;0.15818896103047075;-14.174510208215452
Easy On Me;Adele;british soul;2021;142;37;60;-8;13;13;225;58;3;84;0;Major;0.8589739342579887;-24.617273709482227
Empire State Of Mind;JAY-Z;east coast hip hop;2009;174;96;49;-2;46;81;277;3;39;84;8;Major;0.3419338980879225;-42.72857287510825
Give Me Everything (feat. Ne-Yo, Afrojack & Nayer);Pitbull;dance pop;2011;129;94;67;-3;30;53;252;19;16;84;5;Major;0.8970829731603391;-3.7154813467155208
Godzilla (feat. Juice WRLD);Eminem;detroit hip hop;2020;166;75;81;-5;29;83;211;14;34;84;7;Major;0.47506705916583847;-47.94367316695137
22;Taylor Swift;pop;2012;104;73;66;-7;5;67;232;0;4;72;1;Major;0.3895616894435492;-18.197611862389316
Happier;Marshmello;brostep;2018;100;79;69;-3;17;67;214;19;5;84;6;Major;0.8616112083935648;-42.041908268735
Hey, Soul Sister;Train;dance pop;2010;97;89;67;-4;8;80;217;19;4;84;8;Minor;0.08494422975127491;-1.7316884590653032
HIGHEST IN THE ROOM;Travis Scott;hip hop;2019;76;43;60;-9;21;6;176;5;3;84;2;Major;0.3379251238923273;-13.649502523046756
I WANNA BE YOUR SLAVE;Måneskin;indie rock italiano;2021;133;61;75;-4;18;96;173;0;4;84;5;Minor;0.6299569451293828;-14.049362024627747
In Da Club;50 Cent;east coast hip hop;2003;90;71;90;-3;7;78;193;26;37;84;4;Major;0.18201824640921938;-52.291862693527904
In Ha Mood;Ice Spice;bronx drill;2023;141;74;77;-7;23;53;129;70;34;84;10;Major;0.7387797723275461;-51.385473859289355
Infinity;Jaymes Young;indie poptimism;2017;122;67;67;-7;30;49;238;15;4;84;11;Minor;0.5781112035254817;-5.908768009186318
Jocelyn Flores;XXXTENTACION;emo rap;2017;134;39;87;-9;30;44;119;47;24;84;4;Minor;0.12467031581965149;-3.591600580850809
Leave Before You Love Me (with Jonas Brothers);Marshmello;brostep;2021;120;74;72;-5;12;64;155;0;4;84;8;Major;0.24948803861714774;-13.37851938592739
